"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
top-stripe1;;;Color;Bordó;Talle;XS;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-stripe1;;;Color;Bordó;Talle;S;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-stripe1;;;Color;Bordó;Talle;M;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-stripe1;;;Color;Bordó;Talle;L;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-stripe1;;;Color;Blanco;Talle;XS;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-stripe1;;;Color;Blanco;Talle;S;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-stripe1;;;Color;Blanco;Talle;M;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-stripe1;;;Color;Blanco;Talle;L;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-stripe1;;;Color;Negro;Talle;XS;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-stripe1;;;Color;Negro;Talle;S;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-stripe1;;;Color;Negro;Talle;M;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-stripe1;;;Color;Negro;Talle;L;;;44,000.00;35,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-wavy;"Vestido wavy";Superiores;Color;Bordó;;;;;70,000.00;55,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""96"" data-end=""171""><strong data-start=""96"" data-end=""171"">Vestido Corto de Microtul con Textura Bordada &ndash; Rom&aacute;ntico y Sofisticado</strong></p>
<p data-start=""173"" data-end=""417"">Este vestido corto confeccionado en microtul con textura bordada es ideal para la mujer que busca un look elegante, femenino y con un toque de sensualidad. Su dise&ntilde;o incluye un cut out lateral que realza la figura de manera sutil y sofisticada.</p>
<ul data-start=""419"" data-end=""798"">
<li data-start=""419"" data-end=""537"">
<p data-start=""421"" data-end=""537""><strong data-start=""421"" data-end=""434"">Material:</strong> Microtul bordado, delicado y suave al tacto, con una ca&iacute;da fluida que aporta movimiento y comodidad.</p>
</li>
<li data-start=""538"" data-end=""671"">
<p data-start=""540"" data-end=""671""><strong data-start=""540"" data-end=""551"">Dise&ntilde;o:</strong> Cut out lateral para un detalle sensual y tiras ajustables que permiten personalizar el fruncido y el calce perfecto.</p>
</li>
<li data-start=""672"" data-end=""798"">
<p data-start=""674"" data-end=""798""><strong data-start=""674"" data-end=""685"">Estilo:</strong> Perfecto para ocasiones especiales o noches de verano donde quer&eacute;s destacar con un look rom&aacute;ntico e inolvidable.</p>
</li>
</ul>
<p>&nbsp;</p>
<p data-start=""800"" data-end=""887"">Combinalo con sandalias de taco alto y accesorios delicados para un outfit que enamora.</p>";;;;;SI;;;;
vestido-wavy;;;Color;Blanco;;;;;70,000.00;55,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-wavy;;;Color;Negro;;;;;70,000.00;55,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
tapado-glen1;"Tapado glen";Superiores;Color;Beige;;;;;730,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""128"" data-end=""192""><strong data-start=""128"" data-end=""192"">Saco Largo de Pa&ntilde;o &ndash; Elegancia Atemporal para los D&iacute;as Fr&iacute;os</strong></p>
<p data-start=""194"" data-end=""450"">Parte de la <strong data-start=""206"" data-end=""234"">Colecci&oacute;n Iman Exclusive</strong>, este saco largo de pa&ntilde;o combina dise&ntilde;o cl&aacute;sico con detalles modernos, ofreciendo una prenda vers&aacute;til, abrigada y con un estilo sofisticado. Ideal para acompa&ntilde;arte en los d&iacute;as m&aacute;s fr&iacute;os sin renunciar a la elegancia.</p>
<ul data-start=""452"" data-end=""786"">
<li data-start=""452"" data-end=""569"">
<p data-start=""454"" data-end=""569""><strong data-start=""454"" data-end=""467"">Material:</strong> Pa&ntilde;o de alta calidad (20% lana &ndash; 80% poli&eacute;ster) que brinda abrigo, durabilidad y una textura suave.</p>
</li>
<li data-start=""570"" data-end=""718"">
<p data-start=""572"" data-end=""718""><strong data-start=""572"" data-end=""583"">Dise&ntilde;o:</strong> Corte cl&aacute;sico con hombreras integradas que realzan la figura y un cintur&oacute;n regulable que permite ajustar la silueta seg&uacute;n tu estilo.</p>
</li>
<li data-start=""719"" data-end=""786"">
<p data-start=""721"" data-end=""786""><strong data-start=""721"" data-end=""742"">Interior forrado:</strong> Mayor confort y terminaciones impecables.</p>
</li>
</ul>
<p>&nbsp;</p>
<p data-start=""788"" data-end=""980"">Perfecto para looks urbanos, formales o casuales. Ll&eacute;valo con jeans y botas para el d&iacute;a a d&iacute;a o sobre un vestido para un evento especial. Un esencial de temporada con toda la impronta de Iman.</p>";;;;;SI;;;;
tapado-glen1;;;Color;Marrón;;;;;730,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
tapado-glen1;;;Color;Gris;;;;;730,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
tapado-glen1;;;Color;"Blanco & Negro";;;;;730,000.00;250,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
tapado-glen;"Tapado glen";Superiores;Color;Beige;;;;;320,000.00;150,000.00;0.00;0.00;0.00;0.00;1;;;SI;NO;"<p data-start=""166"" data-end=""215""><strong data-start=""166"" data-end=""215"">Saco Largo de Pa&ntilde;o &ndash; Colecci&oacute;n Iman Exclusive</strong></p>
<p data-start=""217"" data-end=""449"">Elegancia, abrigo y versatilidad se unen en este saco largo de pa&ntilde;o, ideal para lucir impecable durante los d&iacute;as fr&iacute;os. Con un dise&ntilde;o cl&aacute;sico que se adapta a cualquier ocasi&oacute;n, es una prenda infaltable en tu guardarropa de invierno.</p>
<ul data-start=""451"" data-end=""803"">
<li data-start=""451"" data-end=""550"">
<p data-start=""453"" data-end=""550""><strong data-start=""453"" data-end=""462"">Tela:</strong> Pa&ntilde;o de alta calidad (20% lana &ndash; 80% poli&eacute;ster), c&aacute;lido, resistente y suave al tacto.</p>
</li>
<li data-start=""551"" data-end=""621"">
<p data-start=""553"" data-end=""621""><strong data-start=""553"" data-end=""572"">Forro interior:</strong> Proporciona confort y una terminaci&oacute;n prolija.</p>
</li>
<li data-start=""622"" data-end=""692"">
<p data-start=""624"" data-end=""692""><strong data-start=""624"" data-end=""649"">Hombreras integradas:</strong> Realzan la silueta y aportan estructura.</p>
</li>
<li data-start=""693"" data-end=""803"">
<p data-start=""695"" data-end=""803""><strong data-start=""695"" data-end=""718"">Cintur&oacute;n regulable:</strong> Permite ajustar la prenda a tu estilo, ya sea para un look suelto o m&aacute;s entallado.</p>
</li>
</ul>
<p>&nbsp;</p>
<p data-start=""805"" data-end=""979"">Perfecto para combinar con jeans y remera para un look urbano o con un vestido elegante en eventos especiales. Una prenda vers&aacute;til y sofisticada que eleva cualquier conjunto.</p>";;;;;SI;;;;
tapado-glen;;;Color;Negro;;;;;320,000.00;150,000.00;0.00;0.00;0.00;0.00;1;;;;;;;;;;;;;;
tapado-glen;;;Color;Visón;;;;;320,000.00;150,000.00;0.00;0.00;0.00;0.00;1;;;;;;;;;;;;;;
tapado-glen;;;Color;Camel;;;;;320,000.00;150,000.00;0.00;0.00;0.00;0.00;1;;;;;;;;;;;;;;
tapado-soft-corto1;"Tapado soft corto";Superiores;Color;Marrón;;;;;450,000.00;150,000.00;0.00;0.00;0.00;0.00;2;;;SI;NO;"<p data-start=""142"" data-end=""198""><strong data-start=""142"" data-end=""198"">Tapado Corto de Piel Sint&eacute;tica &ndash; Colecci&oacute;n Exclusive</strong></p>
<p data-start=""200"" data-end=""426"">Una prenda clave para elevar tus looks de invierno. Este tapado corto confeccionado en <strong data-start=""287"" data-end=""322"">piel sint&eacute;tica suave y el&aacute;stica</strong> combina estilo, abrigo y funcionalidad, adapt&aacute;ndose perfectamente a tu figura sin sacrificar comodidad.</p>
<ul data-start=""428"" data-end=""709"">
<li data-start=""428"" data-end=""503"">
<p data-start=""430"" data-end=""503""><strong data-start=""430"" data-end=""439"">Tela:</strong> Piel sint&eacute;tica de alta calidad, con textura suave y flexible.</p>
</li>
<li data-start=""504"" data-end=""633"">
<p data-start=""506"" data-end=""633""><strong data-start=""506"" data-end=""527"">Dise&ntilde;o funcional:</strong> Bolsillos laterales pr&aacute;cticos y botones de pasta al tono que completan el look con un detalle elegante.</p>
</li>
<li data-start=""634"" data-end=""709"">
<p data-start=""636"" data-end=""709""><strong data-start=""636"" data-end=""651"">Fit c&oacute;modo:</strong> Largo ideal para combinar con distintos tipos de prendas.</p>
</li>
</ul>
<p data-start=""711"" data-end=""911""><strong data-start=""711"" data-end=""733"">Vers&aacute;til y moderno</strong>, pod&eacute;s llevarlo con jeans y botines para un outfit urbano, o con vestido y botas altas para un estilo m&aacute;s sofisticado. Una prenda que suma abrigo y actitud a cualquier conjunto.</p>";;;;;SI;;;;
tapado-soft-corto;"Tapado soft corto";Superiores;Color;Gris;;;;;440,000.00;220,000.00;0.00;0.00;0.00;0.00;4;;;SI;NO;"<p data-start=""130"" data-end=""191""><strong data-start=""130"" data-end=""191"">Tapado Corto de Piel Sint&eacute;tica &ndash; Colecci&oacute;n Iman Exclusive</strong></p>
<p data-start=""193"" data-end=""423"">Elegante, c&oacute;modo y vers&aacute;til: este tapado corto de piel sint&eacute;tica es una prenda infaltable para elevar tus looks de temporada. Su textura suave y el&aacute;stica se adapta con delicadeza a tu silueta, brind&aacute;ndote abrigo sin perder estilo.</p>
<ul data-start=""425"" data-end=""723"">
<li data-start=""425"" data-end=""508"">
<p data-start=""427"" data-end=""508""><strong data-start=""427"" data-end=""436"">Tela:</strong> Piel sint&eacute;tica de alta calidad, suave al tacto y con excelente ca&iacute;da.</p>
</li>
<li data-start=""509"" data-end=""636"">
<p data-start=""511"" data-end=""636""><strong data-start=""511"" data-end=""536"">Detalles funcionales:</strong> Bolsillos laterales pr&aacute;cticos y botones de pasta que complementan el dise&ntilde;o con un toque moderno.</p>
</li>
<li data-start=""637"" data-end=""723"">
<p data-start=""639"" data-end=""723""><strong data-start=""639"" data-end=""658"">Dise&ntilde;o moderno:</strong> Corte recto y largo ideal para combinar con todo tu guardarropa.</p>
</li>
</ul>
<p data-start=""725"" data-end=""900"">Perfecto para armar looks urbanos con jeans y botines, o para un estilo m&aacute;s sofisticado con vestidos y botas altas. Un abrigo con personalidad que te acompa&ntilde;a en cada ocasi&oacute;n.</p>";;;;;SI;;;;
bufanda-glen;"Bufanda glen";Superiores;Color;Negro;;;;;40,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""115"" data-end=""167""><strong data-start=""115"" data-end=""167"">Bufanda de Pa&ntilde;o &ndash; Suavidad y Elegancia Atemporal</strong></p>
<p data-start=""169"" data-end=""446"">Cl&aacute;sica, vers&aacute;til y con un toque de distinci&oacute;n. Esta bufanda de pa&ntilde;o es el accesorio ideal para sumar calidez y estilo a cualquier outfit. Su textura suave y su acabado refinado la convierten en un complemento imprescindible para los d&iacute;as frescos y las noches m&aacute;s sofisticadas.</p>
<p data-start=""448"" data-end=""542"">Perfecta para combinar con tapados, sacos o camperas, aporta un detalle elegante sin esfuerzo.</p>";;;;;SI;;;;
bufanda-glen;;;Color;Camel;;;;;40,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
bufanda-glen;;;Color;Visón;;;;;40,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
hermes-rojo-dorado;"Hermes Rojo Dorado";"Accesorios  > Pulseras ";;;;;;;55,000.00;;0.00;0.00;0.00;0.00;2;;;SI;NO;"<p>Un dise&ntilde;o ic&oacute;nico que combina sofisticaci&oacute;n y estilo. La pulsera Hermes en tono rojo intenso con detalles dorados es el accesorio perfecto para elevar cualquier look. Su acabado brillante y estructura firme la convierten en una pieza elegante y atemporal.</p>";;;;;SI;;;;
sweater-piper;"Sweater piper";Superiores;Color;Blanco;;;;;90,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""86"" data-end=""129""><strong data-start=""86"" data-end=""129"">Sweater Tejido con Cuello Alto y Cierre</strong></p>
<p data-start=""131"" data-end=""449"">Confeccionado en un tejido suave y el&aacute;stico (70% acr&iacute;lico, 13% poli&eacute;ster, 3% spandex), este sweater es ideal para acompa&ntilde;arte en los d&iacute;as frescos con estilo y confort. Su cuello alto, protagonista de la temporada, le da un toque moderno y abrigado, mientras que el cierre frontal te permite jugar con diferentes looks.</p>
<p>&nbsp;</p>
<p data-start=""451"" data-end=""581"">Vers&aacute;til y c&oacute;modo, combinalo con jeans y zapatillas para un outfit relajado, o con una falda y botas para un look m&aacute;s sofisticado.</p>";;;;;SI;;;;
sweater-piper;;;Color;Gris;;;;;90,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
sweater-piper;;;Color;Negro;;;;;90,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
campera-bugatti;"Campera bugatti";Superiores;Color;Bordó;;;;;150,000.00;99,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""102"" data-end=""163""><strong data-start=""102"" data-end=""163"">Campera de Crepe Sastrero Forrada con Detalles Deportivos</strong></p>
<p data-start=""165"" data-end=""425"">Dise&ntilde;ada para los d&iacute;as frescos, esta campera combina funcionalidad, abrigo y estilo. Confeccionada en crepe sastrero de alta calidad, ofrece una excelente ca&iacute;da, resistencia y un toque elegante. Su interior forrado brinda calidez y confort durante todo el d&iacute;a.</p>
<p data-start=""427"" data-end=""662"">Los cierres met&aacute;licos YKK aseguran un cierre suave y duradero, mientras que los bolsillos laterales aportan practicidad. Las mangas con l&iacute;neas y el logo bordado a contra tono le dan un aire moderno y deportivo que eleva cualquier look.</p>
<p data-start=""664"" data-end=""720"">Perfecta para un estilo urbano con un toque sofisticado.</p>";;;;;SI;;;;
campera-bugatti;;;Color;Beige;;;;;150,000.00;99,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
campera-bugatti;;;Color;Negro;;;;;150,000.00;99,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
blazer-crash;"Blazer crash";Superiores;Color;Bordó;;;;;100,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""83"" data-end=""140""><strong data-start=""83"" data-end=""140"">Blazer Slim Fit de Vinil Charolado &ndash; Brillo y actitud</strong></p>
<p data-start=""142"" data-end=""366"">Este blazer de vinil charolado es la prenda clave para un look audaz y sofisticado. Su corte slim fit realza la figura con un calce moderno y elegante, mientras que el acabado brillante le aporta un toque llamativo y trendy.</p>
<p data-start=""368"" data-end=""482"">El bot&oacute;n negro al frente completa el dise&ntilde;o con sutileza, permiti&eacute;ndote lucirlo cerrado o abierto seg&uacute;n tu estilo.</p>
<p data-start=""484"" data-end=""598""><strong data-start=""484"" data-end=""518"">&iquest;Quer&eacute;s un conjunto imbatible?</strong> Combin&aacute; este blazer con el pantal&oacute;n Crash y llev&aacute; tu outfit al siguiente nivel.</p>
<p data-start=""600"" data-end=""686"">Ideal para salidas nocturnas, eventos especiales o simplemente cuando quer&eacute;s destacar.</p>";;;;;SI;;;;
blazer-crash;;;Color;Negro;;;;;100,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;"Pantalón bugatti";Inferiores;Color;Bordó;Talle;S;;;70,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""111"" data-end=""179""><strong data-start=""111"" data-end=""179"">Pantal&oacute;n Bugatti Wide Leg &ndash; Estilo relajado con sello distintivo</strong></p>
<p data-start=""181"" data-end=""404"">Confeccionado en crepe sastrero de alta calidad, el pantal&oacute;n Bugatti combina comodidad y elegancia en una silueta amplia y fluida. Su corte wide leg es ideal para quienes buscan un look moderno, relajado y con mucho estilo.</p>
<p data-start=""406"" data-end=""617"">El el&aacute;stico en la cintura asegura un calce c&oacute;modo y vers&aacute;til, adapt&aacute;ndose a tu cuerpo con suavidad. Los bolsillos laterales a&ntilde;aden practicidad, mientras que las l&iacute;neas verticales estilizan visualmente la figura.</p>
<p data-start=""619"" data-end=""726"">Como toque final, el logo bordado a contra tono le suma un detalle sofisticado y sutil que eleva la prenda.</p>
<p data-start=""728"" data-end=""811""><strong data-start=""728"" data-end=""811"">Usalo con el blazer a juego o con un top b&aacute;sico para un look effortless y chic.</strong></p>";;;;;SI;;;;
pantalon-bugatti;;;Color;Bordó;Talle;M;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Bordó;Talle;L;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Bordó;Talle;XL;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Blanco;Talle;S;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Blanco;Talle;M;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Blanco;Talle;L;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Blanco;Talle;XL;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Negro;Talle;S;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Negro;Talle;M;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Negro;Talle;L;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Negro;Talle;XL;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Marrón;Talle;S;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Marrón;Talle;M;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Marrón;Talle;L;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Marrón;Talle;XL;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Gris;Talle;S;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Gris;Talle;M;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Gris;Talle;L;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Gris;Talle;XL;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Visón;Talle;S;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Visón;Talle;M;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Visón;Talle;L;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-bugatti;;;Color;Visón;Talle;XL;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-nirvana-crash;"Pantalón Nirvana Crash";Inferiores;Color;Bordó;Talle;M;;;87,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""90"" data-end=""172""><strong data-start=""90"" data-end=""172"">Pantal&oacute;n de Cuero Vegano Charolado con Doble Costura &ndash; Estilo urbano y moderno</strong></p>
<p data-start=""174"" data-end=""391"">Este pantal&oacute;n de cuero vegano tipo charol combina el look cl&aacute;sico del jeans con un toque sofisticado y audaz. Su doble costura refuerza el dise&ntilde;o, aportando resistencia y un detalle visual que resalta su estilo &uacute;nico.</p>
<p data-start=""393"" data-end=""569"">Con calce oxford que se adapta c&oacute;modamente a tu figura y un tajo en la pierna que a&ntilde;ade movimiento y personalidad, es la prenda ideal para un outfit con actitud y versatilidad.</p>
<p data-start=""571"" data-end=""652"">Perfecto para combinar con prendas b&aacute;sicas o para destacar en tus looks de noche.</p>";;;;;SI;;;;
pantalon-nirvana-crash;;;Color;Bordó;Talle;L;;;87,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-nirvana-crash;;;Color;Negro;Talle;M;;;87,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-nirvana-crash;;;Color;Negro;Talle;L;;;87,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-tom;"Pantalón tom";Inferiores;Color;Gris;;;;;90,000.00;44,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""106"" data-end=""177""><strong data-start=""106"" data-end=""177"">Pantal&oacute;n sastrero Tom &ndash; Elegancia y comodidad para la mujer moderna</strong></p>
<p data-start=""179"" data-end=""483"">El pantal&oacute;n sastrero Tom es una prenda esencial en el guardarropa femenino, pensado para quienes valoran la combinaci&oacute;n perfecta entre estilo y confort. Confeccionado con materiales de alta calidad, su tiro medio-alto ofrece una silueta favorecedora que estiliza y acompa&ntilde;a tu figura durante todo el d&iacute;a.</p>
<h3 data-start=""485"" data-end=""532"">Dise&ntilde;o y detalles que marcan la diferencia:</h3>
<ul data-start=""534"" data-end=""1179"">
<li data-start=""534"" data-end=""695"">
<p data-start=""536"" data-end=""695""><strong data-start=""536"" data-end=""556"">Corte impecable:</strong> Su l&iacute;nea recta alarga visualmente las piernas y se adapta con facilidad a cualquier ocasi&oacute;n, desde el trabajo hasta una salida nocturna.</p>
</li>
<li data-start=""696"" data-end=""801"">
<p data-start=""698"" data-end=""801""><strong data-start=""698"" data-end=""718"">Tiro medio-alto:</strong> Proporciona soporte y define la cintura para una apariencia elegante y femenina.</p>
</li>
<li data-start=""802"" data-end=""913"">
<p data-start=""804"" data-end=""913""><strong data-start=""804"" data-end=""830"">Bolsillos funcionales:</strong> Bolsillos delanteros pr&aacute;cticos y modernos para llevar tus esenciales con estilo.</p>
</li>
<li data-start=""914"" data-end=""1035"">
<p data-start=""916"" data-end=""1035""><strong data-start=""916"" data-end=""941"">Detalle de sastrer&iacute;a:</strong> Bolsillos ojal falsos en la parte trasera que aportan sofisticaci&oacute;n y distinci&oacute;n al dise&ntilde;o.</p>
</li>
<li data-start=""1036"" data-end=""1179"">
<p data-start=""1038"" data-end=""1179""><strong data-start=""1038"" data-end=""1067"">Versatilidad sin l&iacute;mites:</strong> Comb&iacute;nalo con blusas, camisas, su&eacute;teres o chaquetas para crear looks &uacute;nicos y adaptados a tu estilo personal.</p>
</li>
</ul>";;;;;SI;;;;
pantalon-tom;;;Color;Negro;;;;;90,000.00;44,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-tom;;;Color;Verde;;;;;90,000.00;44,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-tom;;;Color;Marrón;;;;;90,000.00;44,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
schwarzkopf-chroma-id-mascara-de-color-pearl-silver-300ml;"Schwarzkopf Chroma Id Mascara De Color Pearl Silver 300ml";"Cuidados del cabello ";;;;;;;45,000.00;;0.00;0.00;0.00;0.00;3;;;SI;NO;"<p data-start=""142"" data-end=""228""><strong data-start=""142"" data-end=""228"">Schwarzkopf Professional Chroma ID Bonding Colour Mask 9.5-1 Pearl Silver (300 ml)</strong></p>
<p data-start=""230"" data-end=""384"">Mascarilla colorante semipermanente personalizable, perfecta para mantener tonos pastel y conservar la vitalidad del color desde la comodidad de tu hogar.</p>
<p data-start=""386"" data-end=""652"">Formulada con tecnolog&iacute;a Bonding, que refuerza la estructura del cabello, y tecnolog&iacute;a Low Salt, que mejora la fijaci&oacute;n del pigmento para un color duradero. Adem&aacute;s, contiene queratina y pantenol para cuidar y sellar la cut&iacute;cula, dejando el cabello suave y protegido.</p>
<p style=""margin-bottom: 12px; font-style: normal; font-variant-caps: normal; font-stretch: normal; font-size: 19px; line-height: normal; font-family: 'Times New Roman'; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-variant-emoji: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; -webkit-text-stroke-width: 0px; -webkit-text-stroke-color: #000000;"">&nbsp;</p>
<p data-start=""654"" data-end=""822""><strong data-start=""654"" data-end=""670"">Modo de uso:</strong> Aplicar sobre el cabello lavado y secado con toalla. Dejar actuar entre 3 y 15 minutos seg&uacute;n la intensidad deseada. El color dura entre 5 y 12 lavados.</p>
<p><span style=""font-kerning: none;"">&nbsp;</span></p>";;;;;SI;;;;29,000.00
schwarzkopf-chroma-id-mascara-pigmentada-cabello-red-x-300ml;"Schwarzkopf Chroma Id Máscara Pigmentada Cabello Red X 300ml";"Cuidados del cabello ";;;;;;;45,000.00;;0.00;0.00;0.00;0.00;2;;;SI;NO;"<p data-start=""89"" data-end=""235""><strong data-start=""89"" data-end=""151"">Mascarilla pigmentada semipermanente para cabellos te&ntilde;idos</strong><br data-start=""151"" data-end=""154"" />Refresca y realza tonos rojos y cobrizos, devolvi&eacute;ndole vida y brillo a tu color.</p>
<p data-start=""237"" data-end=""421"">Formulada con tecnolog&iacute;a Bonding, que repara y fortalece el cabello; tecnolog&iacute;a Low Salt, que mejora la fijaci&oacute;n del pigmento; y pantenol para un acondicionamiento profundo y duradero.</p>
<p data-start=""423"" data-end=""500"">F&oacute;rmula vegana y cruelty-free, respetuosa con tu cabello y el medio ambiente.</p>
<p data-start=""502"" data-end=""660""><strong data-start=""502"" data-end=""518"">Modo de uso:</strong> Aplicar sobre cabello lavado y secado con toalla. Dejar actuar hasta 10 minutos seg&uacute;n la intensidad deseada. Color duradero hasta 12 lavados.</p>";;;;;SI;;;;29,000.00
